filter_name,n_filtered,n_excluded,pct_trades_kept,win_rate_filtered,win_rate_excluded,win_rate_improvement,avg_profit_filtered,avg_profit_excluded,profit_improvement,total_profit_filtered,p_value_ttest,p_value_chi2,cohens_d,significant
ATR < 2.0,75,355,17.441860465116278,73.33333333333333,67.04225352112675,6.291079812206576,18.0636,8.717323943661972,9.346276056338029,1354.77,0.014941425315377021,0.35440476533620857,0.30913833302691823,True
ATR < 2.5,135,295,31.3953488372093,74.81481481481481,65.08474576271186,9.730069052102948,16.39918518518519,7.578067796610169,8.82111738857502,2213.8900000000003,0.004914503681716559,0.05766895916389309,0.297753195191204,True
Session: Late_NY,131,299,30.465116279069765,72.51908396946564,66.22073578595318,6.298348183512459,16.099999999999998,7.827157190635452,8.272842809364546,2109.1,0.008940701238183506,0.23891341168717461,0.2763368983609807,True
NOT Session: NY,332,98,77.20930232558139,68.97590361445783,65.3061224489796,3.6697811654782413,12.0375,4.622142857142856,7.415357142857143,3996.45,0.03293453974441869,0.5742884207819926,0.22641214065684254,True
RSI < 30 (Oversold),61,369,14.186046511627906,68.85245901639344,68.02168021680217,0.8307787995912719,15.35639344262295,9.519457994579946,5.836935448043004,936.74,0.16322878511760558,1.0,0.19917019094385496,False
ATR < 4.0,265,165,61.627906976744185,71.69811320754717,62.42424242424243,9.273870783304737,12.566566037735848,6.783515151515151,5.783050886220697,3330.14,0.05393489255592949,0.05734540559141721,0.19025368636924458,True
ATR < 3.0,189,241,43.95348837209303,72.4867724867725,64.73029045643153,7.756482030340962,13.232698412698413,8.084813278008298,5.1478851346901155,2500.98,0.08004472619161129,0.10759929090622347,0.17137073965153074,True
ATR < 3.5,231,199,53.72093023255814,70.995670995671,64.82412060301507,6.171550392655931,12.249004329004327,8.140201005025126,4.108803323979201,2829.5199999999995,0.16072517071363007,0.20561057858870993,0.1357600460519645,False
ADX > 35 (Strong),181,249,42.093023255813954,70.71823204419888,66.26506024096386,4.453171803235023,12.582651933701658,8.72273092369478,3.859921010006879,2277.46,0.19205987169446342,0.3823070281834431,0.13032275864746748,False
Day: Monday,94,336,21.86046511627907,76.59574468085107,65.77380952380952,10.821935157041551,13.105319148936168,9.575952380952382,3.5293667679837863,1231.8999999999999,0.31822296008969,0.06213045027902188,0.12019331999699559,False
ADX > 40 (Strong),139,291,32.325581395348834,71.94244604316546,66.32302405498281,5.619421988182651,12.699280575539568,9.224123711340207,3.475156864199361,1765.2,0.2659889508263036,0.28956019028284313,0.11869466095852302,False
Mid BB (0.3-0.7),136,294,31.627906976744185,72.05882352941177,66.3265306122449,5.732292917166873,12.53485294117647,9.335646258503402,3.1992066826730685,1704.74,0.3086795002976378,0.28234697111255913,0.10534629239582251,False
StochK < 20 (Oversold),119,311,27.674418604651162,71.42857142857143,66.88102893890675,4.5475424896646786,12.18470588235294,9.644501607717041,2.540204274635899,1449.9799999999998,0.4368921084701608,0.4296494812581666,0.08312958789024287,False
MACD < Signal (Bearish),255,175,59.30232558139535,71.37254901960785,63.42857142857142,7.943977591036422,11.27627450980392,8.994114285714286,2.282160224089635,2875.45,0.44309508802628594,0.10277838521720872,0.07471367178311712,False
ADX > 30 (Strong),240,190,55.81395348837209,69.58333333333333,66.3157894736842,3.2675438596491233,11.302125,9.141631578947369,2.1604934210526316,2712.51,0.46297560768360224,0.5365946404775673,0.07019134007806128,False
Downtrend (DI- > DI+),254,176,59.06976744186046,68.50393700787401,67.61363636363636,0.8903006442376551,11.077204724409448,9.294375,1.7828297244094475,2813.6099999999997,0.5487631487458592,0.9286198351113305,0.058702921098151686,False
ATR < 5.0,321,109,74.65116279069768,70.09345794392523,62.38532110091744,7.708136843007793,10.792211838006232,9.037798165137614,1.7544136728686173,3464.3,0.6016751373341838,0.1696485630284688,0.05656760764051561,False
RSI 40-60,195,235,45.348837209302324,66.66666666666666,69.36170212765957,-2.695035460992912,11.226358974358977,9.618212765957447,1.6081462084015303,2189.1400000000003,0.5839776119331321,0.6218985557978384,0.052728026498195364,False
NOT Session: Asian,328,102,76.27906976744187,68.90243902439023,65.68627450980392,3.2161645145863105,10.703475609756099,9.202745098039216,1.500730511716883,3510.7400000000002,0.662399866971584,0.6261174017478468,0.05119858706034007,False
NOT Session: London,331,99,76.9767441860465,68.27794561933534,67.67676767676768,0.6011779425676593,10.576283987915408,9.582525252525253,0.9937587353901556,3500.75,0.7747948370290074,1.0,0.03469993020406839,False
ADX < 25 (Weak),119,311,27.674418604651162,68.0672268907563,68.16720257234726,-0.09997568159096204,10.993277310924368,10.100385852090032,0.8928914588343364,1308.1999999999998,0.7847050954622432,1.0,0.02822881376000491,False
Spread < 76 (Median),189,241,43.95348837209303,71.95767195767195,65.14522821576763,6.812443741904318,10.718994708994709,10.056141078838174,0.6628536301565351,2025.8899999999999,0.8219852462285481,0.16134937479574551,0.022029106460871566,False
Near Lower BB (<0.3),190,240,44.18604651162791,67.89473684210526,68.33333333333333,-0.43859649122806843,10.702999999999998,10.066041666666667,0.6369583333333306,2033.5699999999997,0.828735821250215,1.0,0.02105701321288342,False
ADX < 20 (Weak),51,379,11.86046511627907,68.62745098039215,68.07387862796834,0.5535723524238136,10.615294117647059,10.311451187335093,0.30384293031196563,541.38,0.9464368361049158,1.0,0.009705063640537335,False
Day: Wednesday,77,353,17.906976744186046,66.23376623376623,68.55524079320114,-2.321474559434904,10.276363636363635,10.36300283286119,-0.08663919649755414,791.28,0.9818762629975579,0.7939718640998541,-0.0027634367062901355,False
Spread < 79 (75th pctl),308,122,71.62790697674419,70.12987012987013,63.114754098360656,7.015116031509471,10.300227272727273,10.466803278688523,-0.16657600596125022,3172.4700000000003,0.9590442031488232,0.19613347766720224,-0.005234415808836543,False
ADX > 20 (Strong),379,51,88.13953488372093,68.07387862796834,68.62745098039215,-0.5535723524238136,10.311451187335093,10.615294117647059,-0.30384293031196563,3908.04,0.9464368361049158,1.0,-0.009705063640537335,False
RSI 35-65,279,151,64.88372093023256,68.81720430107528,66.88741721854305,1.9297870825322292,10.17831541218638,10.660066225165563,-0.48175081297918254,2839.75,0.8750402796583765,0.7629996760982767,-0.016166411333179597,False
ADX > 25 (Strong),311,119,72.32558139534883,68.16720257234726,68.0672268907563,0.09997568159096204,10.100385852090032,10.993277310924368,-0.8928914588343364,3141.22,0.7847050954622432,1.0,-0.02822881376000491,False
StochK 20-80 (Mid),244,186,56.74418604651162,67.21311475409836,69.35483870967742,-2.1417239555790673,9.952827868852458,10.865215053763439,-0.9123871849109815,2428.49,0.7572164329244291,0.7130394808453715,-0.030328318223167318,False
RSI 25-75,398,32,92.55813953488372,68.5929648241206,62.5,6.0929648241206,10.278668341708542,11.2034375,-0.9247691582914577,4090.91,0.8681730265533354,0.6069015569761586,-0.03161764204138291,False
Day: Friday,79,351,18.372093023255815,67.08860759493672,68.37606837606837,-1.2874607811316565,9.58873417721519,10.518262108262109,-0.929527931046918,757.51,0.805547304874388,0.9296704418632648,-0.029840507175771136,False
Session: London,99,331,23.02325581395349,67.67676767676768,68.27794561933534,-0.6011779425676593,9.582525252525253,10.576283987915408,-0.9937587353901556,948.6700000000001,0.7747948370290074,1.0,-0.03469993020406839,False
Day: Tuesday,85,345,19.767441860465116,61.1764705882353,69.85507246376812,-8.678601875532827,9.529176470588233,10.549101449275364,-1.019924978687131,809.9799999999998,0.7811794551529715,0.15905966164067686,-0.03278574084360004,False
Session: Asian,102,328,23.72093023255814,65.68627450980392,68.90243902439023,-3.2161645145863105,9.202745098039216,10.703475609756099,-1.500730511716883,938.6800000000001,0.662399866971584,0.6261174017478468,-0.05119858706034007,False
Day: Thursday,95,335,22.093023255813954,68.42105263157895,68.05970149253731,0.36135113904163063,9.039473684210527,10.718417910447762,-1.6789442262372347,858.7500000000001,0.6337861900579882,1.0,-0.05762055787045912,False
ATR > 5.0,109,321,25.348837209302328,62.38532110091744,70.09345794392523,-7.708136843007793,9.037798165137614,10.792211838006232,-1.7544136728686173,985.1199999999999,0.6016751373341838,0.1696485630284688,-0.05656760764051561,False
Uptrend (DI+ > DI-),176,254,40.93023255813954,67.61363636363636,68.50393700787401,-0.8903006442376551,9.294375,11.077204724409448,-1.7828297244094475,1635.81,0.5487631487458592,0.9286198351113305,-0.058702921098151686,False
ADX < 30 (Weak),190,240,44.18604651162791,66.3157894736842,69.58333333333333,-3.2675438596491233,9.141631578947369,11.302125,-2.1604934210526316,1736.91,0.46297560768360224,0.5365946404775673,-0.07019134007806128,False
StochK > 80 (Overbought),67,363,15.58139534883721,65.67164179104478,68.59504132231406,-2.9233995312692826,8.521641791044775,10.684490358126723,-2.162848567081948,570.9499999999999,0.5915976739088491,0.7420209819494097,-0.07870348035368581,False
MACD > Signal (Bullish),175,255,40.69767441860465,63.42857142857142,71.37254901960785,-7.943977591036422,8.994114285714286,11.27627450980392,-2.282160224089635,1573.97,0.44309508802628594,0.10277838521720872,-0.07471367178311712,False
Hours 8-17 (Main),214,216,49.76744186046512,67.7570093457944,68.51851851851852,-0.7615091727241179,8.633785046728972,12.045324074074074,-3.4115390273451016,1847.63,0.24303985953433607,0.9474161653229072,-0.11272235620187135,False
ADX < 40 (Weak),291,139,67.67441860465117,66.32302405498281,71.94244604316546,-5.619421988182651,9.224123711340207,12.699280575539568,-3.475156864199361,2684.2200000000003,0.2659889508263036,0.2895601902828432,-0.11869466095852302,False
ADX < 35 (Weak),249,181,57.906976744186046,66.26506024096386,70.71823204419888,-4.453171803235023,8.72273092369478,12.582651933701658,-3.859921010006879,2171.96,0.19205987169446342,0.3823070281834431,-0.13032275864746748,False
ATR > 3.5,199,231,46.27906976744186,64.82412060301507,70.995670995671,-6.171550392655931,8.140201005025126,12.249004329004327,-4.108803323979201,1619.9,0.16072517071363007,0.20561057858870999,-0.1357600460519645,False
RSI 30-70,353,77,82.09302325581396,68.27195467422096,67.53246753246754,0.739487141753429,9.575637393767707,13.885974025974026,-4.310336632206319,3380.2000000000003,0.25805077322137304,1.0,-0.14858448226884005,False
Near Upper BB (>0.7),104,326,24.186046511627907,63.46153846153846,69.6319018404908,-6.170363378952338,6.837596153846154,11.467208588957053,-4.629612435110899,711.11,0.17472585504682786,0.2913959082631954,-0.15238895783987133,False
ATR > 3.0,241,189,56.04651162790698,64.73029045643153,72.4867724867725,-7.756482030340962,8.084813278008298,13.232698412698413,-5.1478851346901155,1948.4399999999998,0.08004472619161129,0.10759929090622347,-0.17137073965153074,True
ATR > 4.0,165,265,38.372093023255815,62.42424242424243,71.69811320754717,-9.273870783304737,6.783515151515151,12.566566037735848,-5.783050886220697,1119.28,0.05393489255592949,0.05734540559141721,-0.19025368636924458,True
Hours 9-15 (Core),146,284,33.95348837209302,66.43835616438356,69.01408450704226,-2.5757283426586923,6.217808219178082,12.470492957746478,-6.252684738568396,907.8,0.042380495219408135,0.664604825790341,-0.2057710916441085,True
Session: NY,98,332,22.790697674418606,65.3061224489796,68.97590361445783,-3.6697811654782413,4.622142857142856,12.0375,-7.415357142857143,452.96999999999997,0.03293453974441869,0.5742884207819927,-0.22641214065684254,True
NOT Session: Late_NY,299,131,69.53488372093022,66.22073578595318,72.51908396946564,-6.298348183512459,7.827157190635452,16.099999999999998,-8.272842809364546,2340.32,0.008940701238183506,0.2389134116871747,-0.2763368983609807,True
ATR > 2.5,295,135,68.6046511627907,65.08474576271186,74.81481481481481,-9.730069052102948,7.578067796610169,16.39918518518519,-8.82111738857502,2235.5299999999997,0.004914503681716559,0.05766895916389309,-0.297753195191204,True
ATR > 2.0,355,75,82.55813953488372,67.04225352112675,73.33333333333333,-6.291079812206576,8.717323943661972,18.0636,-9.346276056338029,3094.65,0.014941425315377021,0.35440476533620857,-0.30913833302691823,True
